"","group","name"
"528",18,"perera r a p"
"529",2,"lv h"
"530",18,"wu n c"
"531",18,"leung k"
"532",18,"chan k h"
"533",18,"wu j t"
"534",18,"monto a s"
"535",51,"marin g"
"536",51,"popp d"
"537",51,"vona f"
"538",15,"javakhishvili j d"
"539",15,"ardino v"
"540",15,"bragesjö m"
"541",15,"kazlauskas e"
"542",15,"olff m"
"543",15,"schäfer i"
"544",52,"verikios g"
"545",53,"rostan p"
"546",53,"rostan a"
"547",8,"niankara i"
"548",8,"niankara a"
"549",15,"das d"
"550",54,"franzoni v"
"551",54,"pallottelli s"
"552",54,"milani a"
"553",55,"hensher d a"
"554",56,"bounie d"
"555",56,"cole m"
"556",37,"kahn l b"
"557",37,"wiczer d"
"558",57,"kreidieh k"
"559",57,"nakouzi g"
"560",57,"yazbek s"
"561",58,"thow a m"
"562",58,"eriksson h"
"563",58,"andrew n l"
"564",20,"hockings m"
"565",20,"dudley n"
"566",20,"mackinnon k"
"567",20,"mumba m"
"568",20,"rodríguez c m"
"569",20,"spenceley a"
"570",20,"troëng s"
"571",48,"mcnamara k r"
"572",48,"newman a l"
"573",20,"couto g"
"574",20,"castanho r a"
"575",20,"pimentel p"
"576",20,"sousa á"
"577",20,"santos c"
"578",59,"williams c"
"579",59,"paolucci f"
"580",1,"guo s"
"581",1,"an r"
"582",1,"mcbride t d"
"583",1,"yu d"
"584",1,"fu l"
"585",60,"huf b"
"586",60,"beggs m"
"587",60,"flanagan f"
"588",60,"ville s"
"589",43,"ortega-díaz m i"
"590",43,"ocaña-riola r"
"591",43,"pérez-romero c"
"592",15,"furceri d"
"593",15,"jalles j t"
"594",61,"pflug l"
"595",61,"steinmann p"
"596",15,"gupta r"
"597",48,"allam z"
"598",48,"jones d s"
"599",12,"howarth c"
"600",12,"corner a"
"601",12,"fankhauser s"
"602",12,"whitmarsh l"
"603",12,"willis r"
"604",25,"watermeyer r"
"605",12,"unwin h j t"
"606",12,"volpert v"
"607",12,"banerjee m"
"608",12,"onofrio a"
"609",12,"lipniacki t"
"610",12,"petrovskii s"
"611",11,"khan s"
"612",44,"de villiers"
"613",44,"cerbone d"
"614",55,"cartenì a"
"615",55,"acierno l"
"616",62,"malliet p"
"617",62,"reynès f"
"618",62,"landa g"
"619",62,"saussay a"
"620",63,"lidskog r"
"621",63,"standring a"
"622",25,"fana m"
"623",25,"fernández-macías e"
"624",64,"stanley s m"
"625",64,"markman h j"
"626",65,"hervey t"
"627",65,"galsworthy m"
"628",65,"greer s"
"629",65,"jarman h"
"630",66,"simpson a"
"631",66,"farrelly n"
"632",25,"cardinale i"
"633",25,"landesmann m"
"634",67,"kormishkina l a"
"635",67,"kormishkin e d"
"636",67,"koloskov d a"
"637",68,"datta n r"
"638",68,"samiei m"
"639",52,"stavytskyy a"
"640",69,"blom a g"
"641",69,"cornesse c"
"642",69,"krieger u"
"643",69,"wenz a"
"644",70,"grigoryev l m"
"645",70,"pavlyushina v a"
"646",44,"maritz a"
"647",44,"perenyi a"
"648",71,"mariolis t"
"649",71,"soklis g"
"650",10,"faraldi m"
"651",2,"bucci e"
"652",10,"lombardi g"
"653",61,"schreiber s"
"654",12,"eichenbaum m"
"655",7,"cohen m j"
"656",18,"corman v m"
"657",2,"chi x"
"658",2,"wu y"
"659",1,"chan k s"
"660",27,"suhrcke m"
"661",8,"ali m"
"662",3,"harris e"
"663",25,"schwab k"
"664",30,"covid- strategy"
"665",4,"gayle a a"
"666",25,"andersen a l"
"667",26,"sullivan m"
"668",51,"mongey s"
"669",15,"buldyrev s v"
"670",61,"an der hei"
"671",63,"ha k"
"672",21,"khare m"
"673",3,"shang p"
"674",14,"data-based analysis"
"675",1,"bania j"
"676",2,"lan j"
"677",8,"gambotto a"
"678",2,"liu k"
"679",18,"jo s"
"680",52,"roeger w"
"681",4,"tan x"
"682",14,"simonsen l"
"683",52,"wren-lewis s"
"684",41,"kahneman d"
"685",8,"dowell s f"
"686",38,"singh ja"
"687",25,"pandalai-nayar n"
"688",17,"lattemann c"
"689",20,"gardam m"
"690",26,"van den bro"
"691",8,"brown k"
"692",1,"xia j"
"693",15,"feng l"
"694",10,"wang e"
"695",19,"cohen d a"
"696",39,"gong s"
"697",11,"jt"
"698",3,"an x"
"699",8,"klepac p"
"700",45,"taylor b j"
"701",44,"welter f"
"702",29,"behnke j"
"703",8,"stewart m"
